2025-12-16 16:41:17.565 INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-12-16 16:41:17.680 INFO  c.a.h.HostelManagementTeam05Application - Starting HostelManagementTeam05Application using Java 21.0.7 with PID 152808 (C:\Users\samik\OneDrive\Desktop\abc3\HostelManagement-Team05\target\classes started by samik in C:\Users\samik\OneDrive\Desktop\abc3\HostelManagement-Team05)
2025-12-16 16:41:17.681 DEBUG c.a.h.HostelManagementTeam05Application - Running with Spring Boot v3.3.5, Spring v6.1.14
2025-12-16 16:41:17.682 INFO  c.a.h.HostelManagementTeam05Application - The following 1 profile is active: "local"
2025-12-16 16:41:17.817 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-12-16 16:41:17.818 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-12-16 16:41:23.208 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-12-16 16:41:23.533 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 299 ms. Found 9 JPA repository interfaces.
2025-12-16 16:41:25.892 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8093 (http)
2025-12-16 16:41:25.920 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8093"]
2025-12-16 16:41:25.929 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-12-16 16:41:25.930 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.31]
2025-12-16 16:41:26.145 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-16 16:41:26.145 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 8326 ms
2025-12-16 16:41:27.142 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-12-16 16:41:27.395 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.3.Final
2025-12-16 16:41:27.519 INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-12-16 16:41:28.789 INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-12-16 16:41:28.882 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-12-16 16:41:29.894 INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@3faf0402
2025-12-16 16:41:29.897 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-12-16 16:41:33.760 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-12-16 16:41:33.769 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-12-16 16:41:35.074 INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-12-16 16:41:37.201 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-12-16 16:41:38.190 WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates, check your Thymeleaf configuration, or set spring.thymeleaf.check-template-location=false)
2025-12-16 16:41:39.660 INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2025-12-16 16:41:39.686 INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoints beneath base path '/actuator'
2025-12-16 16:41:39.986 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8093"]
2025-12-16 16:41:40.181 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8093 (http) with context path '/'
2025-12-16 16:41:40.415 INFO  c.a.h.HostelManagementTeam05Application - Started HostelManagementTeam05Application in 24.268 seconds (process running for 26.903)
2025-12-16 16:41:42.203 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-12-16 16:41:42.203 INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-12-16 16:41:42.207 INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 4 ms
